RegionID,Region,Year,Series,Value
4,Afghanistan,2004,Vertebrates,31.0
4,Afghanistan,2010,Vertebrates,31.0
4,Afghanistan,2015,Vertebrates,31.0
4,Afghanistan,2019,Vertebrates,33.0
4,Afghanistan,2020,Vertebrates,33.0
4,Afghanistan,2021,Vertebrates,38.0
4,Afghanistan,2022,Vertebrates,39.0
4,Afghanistan,2004,Invertebrates,1.0
4,Afghanistan,2010,Invertebrates,1.0
4,Afghanistan,2015,Invertebrates,2.0
4,Afghanistan,2019,Invertebrates,2.0
4,Afghanistan,2020,Invertebrates,2.0
4,Afghanistan,2021,Invertebrates,2.0
4,Afghanistan,2022,Invertebrates,2.0
4,Afghanistan,2004,Plants,1.0
4,Afghanistan,2010,Plants,2.0
4,Afghanistan,2015,Plants,5.0
4,Afghanistan,2019,Plants,5.0
4,Afghanistan,2020,Plants,5.0
4,Afghanistan,2021,Plants,8.0
4,Afghanistan,2022,Plants,9.0
4,Afghanistan,2004,Total,33.0
4,Afghanistan,2010,Total,34.0
4,Afghanistan,2015,Total,38.0
4,Afghanistan,2019,Total,40.0
4,Afghanistan,2020,Total,40.0
4,Afghanistan,2021,Total,48.0
4,Afghanistan,2022,Total,50.0
248,Åland Islands,2020,Vertebrates,0.0
248,Åland Islands,2021,Vertebrates,0.0
248,Åland Islands,2022,Vertebrates,0.0
248,Åland Islands,2020,Invertebrates,0.0
248,Åland Islands,2021,Invertebrates,0.0
248,Åland Islands,2022,Invertebrates,0.0
248,Åland Islands,2020,Plants,1.0
248,Åland Islands,2021,Plants,1.0
248,Åland Islands,2022,Plants,1.0
248,Åland Islands,2020,Total,1.0
248,Åland Islands,2021,Total,1.0
248,Åland Islands,2022,Total,1.0
8,Albania,2004,Vertebrates,33.0
8,Albania,2010,Vertebrates,53.0
8,Albania,2015,Vertebrates,54.0
8,Albania,2019,Vertebrates,61.0
8,Albania,2020,Vertebrates,64.0
8,Albania,2021,Vertebrates,70.0
8,Albania,2022,Vertebrates,77.0
8,Albania,2004,Invertebrates,4.0
8,Albania,2010,Invertebrates,47.0
8,Albania,2015,Invertebrates,58.0
8,Albania,2019,Invertebrates,71.0
8,Albania,2020,Invertebrates,73.0
8,Albania,2021,Invertebrates,72.0
8,Albania,2022,Invertebrates,74.0
8,Albania,2004,Plants,0.0
8,Albania,2010,Plants,0.0
8,Albania,2015,Plants,0.0
8,Albania,2019,Plants,5.0
